200 species,100 species,50 species
Thermocoleostomius sinensis A174 (taxid 2016057),Pseudanabaena mucicola str. Chao 1806 (taxid 2942274),Staphylococcus aureus (taxid 1280)
Herbinix luporum (taxid 1679721),Peptostreptococcus equinus (taxid 3003601),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Candidatus Paraluminiphilus aquimaris (taxid 2518994),Bifidobacterium angulatum (taxid 1683),Corynebacterium cystitidis (taxid 35757)
Altererythrobacter sp. H2 (taxid 3108391),Aureimonas sp. OT7 (taxid 2816454),Brucella intermedia (taxid 94625)
Paenibacillus alvei (taxid 44250),Paenibacillus psychroresistens (taxid 1778678),Bacillus velezensis NAU-B3 (taxid 1385727)
Vibrio fluvialis (taxid 676),Aeromonas caviae (taxid 648),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Ralstonia mannitolilytica (taxid 105219),Ralstonia mannitolilytica (taxid 105219),Ralstonia sp. RS647 (taxid 2880989)
Vibrio taketomensis (taxid 2572923),Enterobacter cloacae (taxid 550),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Campylobacter avium LMG 24591 (taxid 522484),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Telmatocola sphagniphila (taxid 1123043),Gemmata obscuriglobus (taxid 114),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Streptococcus thermophilus ND03 (taxid 767463),Streptococcus mutans (taxid 1309),Streptococcus chenjunshii (taxid 2173853)
Carnobacterium maltaromaticum (taxid 2751),Enterococcus faecium (taxid 1352),Ligilactobacillus salivarius (taxid 1624)
Schaalia radingae (taxid 131110),Schaalia odontolytica (taxid 1660),Microlunatus elymi (taxid 2596828)
Robbsia sp. KACC 23696 (taxid 3149231),Enterobacter hormaechei (taxid 158836),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Flavobacterium indicum GPTSA100-9 = DSM 17447 (taxid 1094466),Spirosoma rhododendri (taxid 2728024),Candidatus Kaistella beijingensis (taxid 2820270)
Corynebacterium yudongzhengii (taxid 2080740),Mariniplasma anaerobium (taxid 2735436),Anaerolinea thermophila UNI-1 (taxid 926569)
Candidatus Xiphinematobacter sp. Idaho Grape (taxid 1704307),Verrucomicrobium sp. GAS474 (taxid 1882831),Sphingomonas hengshuiensis (taxid 1609977)
Candidatus Nitrospira inopinata (taxid 1715989),Nitrospira japonica (taxid 1325564),Microlunatus elymi (taxid 2596828)
Microvirga terrae (taxid 2740529),Microvirga thermotolerans (taxid 2651334),Brucella intermedia (taxid 94625)
Apilactobacillus kunkeei (taxid 148814),Granulicatella adiacens (taxid 46124),Ligilactobacillus salivarius (taxid 1624)
Pseudomonas sp. TCU-HL1 (taxid 1856685),Pseudomonas hefeiensis (taxid 2738125),Halopseudomonas litoralis (taxid 797277)
Butyricimonas virosa (taxid 544645),Butyricimonas virosa (taxid 544645),Sphingomonas hengshuiensis (taxid 1609977)
Xanthobacter autotrophicus (taxid 280),Staphylococcus simulans (taxid 1286),Bacillus velezensis NAU-B3 (taxid 1385727)
Bacillus thuringiensis Bt18247 (taxid 1423143),Staphylococcus capitis (taxid 29388),Ligilactobacillus salivarius (taxid 1624)
Bordetella pertussis (taxid 520),Bordetella pertussis (taxid 520),Ralstonia sp. RS647 (taxid 2880989)
Chitinophaga oryzae (taxid 2725414),Salinispora tropica CNB-440 (taxid 369723),Microlunatus elymi (taxid 2596828)
Kosakonia radicincitans (taxid 283686),Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1810 (taxid 1454647),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Enterococcus faecalis ATCC 29212 (taxid 1201292),Clostridium baratii (taxid 1561),Enterococcus faecium (taxid 1352)
Acholeplasma laidlawii (taxid 2148),Acholeplasma laidlawii (taxid 2148),Enterococcus faecium (taxid 1352)
Desulfolithobacter dissulfuricans (taxid 2795293),Enterobacter hormaechei (taxid 158836),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Actomonas aquatica (taxid 2866162),Horticoccus luteus (taxid 2862869),Sphingomonas hengshuiensis (taxid 1609977)
Staphylococcus simulans (taxid 1286),Staphylococcus condimenti (taxid 70255),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Aquella oligotrophica (taxid 2067065),Acinetobacter towneri (taxid 202956),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Klebsiella pneumoniae subsp. pneumoniae KPNIH10 (taxid 1094170),Klebsiella sp. LTGPAF-6F (taxid 1905288),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Methyloradius palustris (taxid 2778876),Cupriavidus malaysiensis (taxid 367825),Alcaligenes nematophilus (taxid 2994643)
Anaerococcus mediterraneensis (taxid 1870984),Helicovermis profundi (taxid 3065157),Crassaminicella indica (taxid 2855394)
Acinetobacter haemolyticus (taxid 29430),Anaerotignum propionicum DSM 1682 (taxid 991789),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Xenorhabdus budapestensis (taxid 290110),Salmonella enterica subsp. enterica serovar Thompson (taxid 600),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Streptococcus pluranimalium (taxid 82348),Streptococcus sp. FSL R7-0248 (taxid 2975324),Streptococcus chenjunshii (taxid 2173853)
Streptococcus pyogenes M1 GAS (taxid 160490),Streptococcus sp. CP1998 (taxid 3238303),Streptococcus chenjunshii (taxid 2173853)
Kocuria palustris (taxid 71999),Kocuria palustris (taxid 71999),Microlunatus elymi (taxid 2596828)
Sulfuricaulis limicola (taxid 1620215),Pseudomonas hefeiensis (taxid 2738125),Halopseudomonas litoralis (taxid 797277)
Lapidilactobacillus dextrinicus (taxid 51664),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Lysobacter antibioticus (taxid 84531),Sodalis ligni (taxid 2697027),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Plesiomonas shigelloides (taxid 703),Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Buchnera aphidicola (Pemphigus populi) (taxid 135841),Enterobacter hormaechei (taxid 158836),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Leptotrichia sp. oral taxon 221 (taxid 712362),Sneathia vaginalis (taxid 187101),Pseudomonas sp. 13159349 (taxid 2662034)
Massilia sp. YMA4 (taxid 1593482),Massilia varians (taxid 457921),Sulfuriferula plumbiphila (taxid 171865)
Halopseudomonas litoralis (taxid 797277),Pseudomonas hefeiensis (taxid 2738125),Halopseudomonas litoralis (taxid 797277)
Sphaerospermopsis torques-reginae ITEP-024 (taxid 984208),Xanthomonas albilineans (taxid 29447),Stenotrophomonas acidaminiphila (taxid 128780)
Mannheimia haemolytica (taxid 75985),Aeromonas caviae (taxid 648),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Porphyromonas somerae (taxid 322095),Porphyromonas cangingivalis (taxid 36874),Aquipluma nitroreducens (taxid 2010828)
Cytobacillus firmus (taxid 1399),Radiobacillus deserti (taxid 2594883),Bacillus velezensis NAU-B3 (taxid 1385727)
Nocardioides sp. B-3 (taxid 2895565),Nocardioides sp. S5 (taxid 2017486),Microlunatus elymi (taxid 2596828)
Burkholderia thailandensis 34 (taxid 1249664),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Pleionea litopenaei (taxid 3070815),Sodalis ligni (taxid 2697027),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Massilia varians (taxid 457921),Enterobacter hormaechei (taxid 158836),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Conexibacter sp. SYSU D00693 (taxid 2812560),Svornostia abyssi (taxid 2898438),Microlunatus elymi (taxid 2596828)
Pseudomonas fluorescens Q2-87 (taxid 1038922),Pseudomonas hefeiensis (taxid 2738125),Halopseudomonas litoralis (taxid 797277)
Hydrogenibacillus sp. N12 (taxid 2866627),Oscillatoria acuminata PCC 6304 (taxid 56110),Paenibacillus ihbetae (taxid 1870820)
Nakamurella multipartita DSM 44233 (taxid 479431),Mycobacterium dioxanotrophicus (taxid 482462),Microlunatus elymi (taxid 2596828)
Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594 (taxid 476213),Salmonella bongori CFSAN000510 (taxid 1299282),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Dickeya dadantii NCPPB 3537 (taxid 1224149),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Methylobacterium terrae (taxid 2202827),Methylobacterium organophilum (taxid 410),Brucella intermedia (taxid 94625)
Clostridium autoethanogenum (taxid 84023),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Flexistipes sinusarabici DSM 4947 (taxid 717231),Micropruina glycogenica (taxid 75385),Microlunatus elymi (taxid 2596828)
Candidatus Nasuia deltocephalinicola (taxid 1160784),Rhizobium leguminosarum bv. trifolii (taxid 386),Brucella intermedia (taxid 94625)
Streptococcus ruminicola (taxid 2686210),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Citrobacter enshiensis (taxid 2971264),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Salimicrobium sp. PL1-032A (taxid 3095364),Ligilactobacillus acidipiscis (taxid 89059),Ligilactobacillus salivarius (taxid 1624)
Rheinheimera sp. F8 (taxid 1763998),Vibrio parahaemolyticus 10329 (taxid 745023),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Paenibacillus sp. JNUCC-31 (taxid 2777983),Paenibacillus sp. JNUCC-31 (taxid 2777983),Bacillus velezensis NAU-B3 (taxid 1385727)
Pontibacter sp. G13 (taxid 3074898),Chryseobacterium taklimakanense (taxid 536441),Candidatus Kaistella beijingensis (taxid 2820270)
Paenibacillus polymyxa (taxid 1406),Paenibacillus psychroresistens (taxid 1778678),Bacillus velezensis NAU-B3 (taxid 1385727)
Helicobacter himalayensis (taxid 1591088),Deinococcus radiophilus (taxid 32062),Hylemonella gracilis (taxid 80880)
Polyangium aurulentum (taxid 2567896),Pajaroellobacter abortibovis (taxid 1882918),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Vulgatibacter incomptus (taxid 1391653),Brooklawnia propionicigenes (taxid 3041175),Microlunatus elymi (taxid 2596828)
Sulfuricystis multivorans (taxid 2211108),Glaciimonas sp. PAMC28666 (taxid 2807626),Sulfuriferula plumbiphila (taxid 171865)
Caminicella sporogenes (taxid 166485),Ruthenibacterium lactatiformans (taxid 1550024),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Virgibacillus sp. Bac330 (taxid 2419841),Aeromonas schubertii (taxid 652),Pseudomonas sp. 13159349 (taxid 2662034)
Bacteroides graminisolvens (taxid 477666),Bacteroides uniformis (taxid 820),Chryseobacterium group (taxid 2782232)
Streptomyces genisteinicus (taxid 2768068),Paracoccus sp. MC1862 (taxid 2760307),Microlunatus elymi (taxid 2596828)
Oceanobacillus sp. FSL W7-1281 (taxid 2921698),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Corynebacterium glutamicum (taxid 1718),Corynebacterium incognita (taxid 2754725),Corynebacterium cystitidis (taxid 35757)
Veillonella atypica (taxid 39777),Veillonella rogosae (taxid 423477),Staphylococcus warneri (taxid 1292)
Anaerocolumna cellulosilytica (taxid 433286),Anaerocolumna sp. AGMB13020 (taxid 3081750),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Candidatus Desulfofervidus auxilii (taxid 1621989),Xenorhabdus poinarii G6 (taxid 1354304),Pseudomonas sp. FP198 (taxid 2954084)
Escherichia coli HS (taxid 331112),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Schaalia meyeri (taxid 52773),Schaalia odontolytica (taxid 1660),Microlunatus elymi (taxid 2596828)
Clostridium gasigenes (taxid 94869),Clostridium cadaveris (taxid 1529),Enterococcus faecium (taxid 1352)
Streptomyces lydicus (taxid 47763),Streptomyces cynarae (taxid 2981134),Microlunatus elymi (taxid 2596828)
Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189 (taxid 1173427),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Corynebacterium endometrii (taxid 2488819),Corynebacterium endometrii (taxid 2488819),Corynebacterium cystitidis (taxid 35757)
Nitrospira moscoviensis (taxid 42253),Nitrospira japonica (taxid 1325564),Microlunatus elymi (taxid 2596828)
Gallibacterium anatis (taxid 750),Haemophilus parainfluenzae (taxid 729),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Leptospirillum ferrooxidans C2-3 (taxid 1162668),Pirellula staleyi DSM 6068 (taxid 530564),Sphingomonas hengshuiensis (taxid 1609977)
Acinetobacter schindleri (taxid 108981),Acinetobacter schindleri (taxid 108981),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Chelativorans sp. AA-79 (taxid 3028735),Chelativorans sp. AA-79 (taxid 3028735),Brucella intermedia (taxid 94625)
Nitrospina watsonii (taxid 1323948),Glycocaulis alkaliphilus (taxid 1434191),Sphingomonas hengshuiensis (taxid 1609977)
Weissella cibaria (taxid 137591),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Leptospira interrogans serovar Manilae (taxid 214675),Staphylococcus condimenti (taxid 70255),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Streptococcus pneumoniae PCS8235 (taxid 1159083),Streptococcus intermedius (taxid 1338),Streptococcus chenjunshii (taxid 2173853)
Alkaliphilus oremlandii OhILAs (taxid 350688),Alkaliphilus metalliredigens QYMF (taxid 293826),Crassaminicella indica (taxid 2855394)
Treponema pedis (taxid 409322),Treponema peruense (taxid 2787628),Treponema sp. Marseille-Q4132 (taxid 2766701)
Petrocella atlantisensis (taxid 2173034),Petrocella atlantisensis (taxid 2173034),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Marinomonas arctica (taxid 383750),Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Neisseria weixii (taxid 1853276),Duganella dendranthematis (taxid 2728021),Ralstonia sp. RS647 (taxid 2880989)
Nostoc sp. TCL26-01 (taxid 2576904),Nostoc sp. TCL26-01 (taxid 2576904),Stenotrophomonas acidaminiphila (taxid 128780)
Kytococcus sedentarius (taxid 1276),Kytococcus sedentarius (taxid 1276),Microlunatus elymi (taxid 2596828)
Comamonas terrigena NBRC 13299 (taxid 1219032),Comamonas terrigena NBRC 13299 (taxid 1219032),Hylemonella gracilis (taxid 80880)
Oscillatoria nigro-viridis PCC 7112 (taxid 179408),Microcystis sp. MC19 (taxid 1967666),Stenotrophomonas acidaminiphila (taxid 128780)
Pseudomonas otitidis (taxid 319939),Entomomonas asaccharolytica (taxid 2785331),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Rhodovulum sp. P5 (taxid 1564506),Kaustia mangrovi (taxid 2593653),Brucella intermedia (taxid 94625)
Brevibacillus borstelensis (taxid 45462),Brevibacillus brevis (taxid 1393),Enterococcus faecium (taxid 1352)
Psychroflexus sp. ALD_RP9 (taxid 2777186),Chryseobacterium taklimakanense (taxid 536441),Candidatus Kaistella beijingensis (taxid 2820270)
Bacteroides ovatus (taxid 28116),Bacteroides salyersiae (taxid 291644),Sphingomonas hengshuiensis (taxid 1609977)
Pseudoxanthomonas daejeonensis (taxid 266062),Stenotrophomonas maltophilia group (taxid 995085),Stenotrophomonas maltophilia group (taxid 995085)
Vibrio parahaemolyticus 10329 (taxid 745023),Rhodococcus erythropolis (taxid 1833),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Streptococcus sobrinus (taxid 1310),Streptococcus mutans (taxid 1309),Streptococcus chenjunshii (taxid 2173853)
Candidatus Symbiobacter mobilis CR (taxid 946483),Melaminivora jejuensis (taxid 1267217),Variovorax sp. PBL-E5 (taxid 434014)
Algoriphagus sp. NG3 (taxid 3097546),Algoriphagus sp. NG3 (taxid 3097546),Hylemonella gracilis (taxid 80880)
Bacteroides faecis (taxid 674529),Bacteroides ovatus V975 (taxid 1379690),Aquipluma nitroreducens (taxid 2010828)
Yimella sp. cx-51 (taxid 2770551),Arthrobacter sulfonylureivorans (taxid 2486855),Microlunatus elymi (taxid 2596828)
Opitutus sp. GAS368 (taxid 1882749),Horticoccus luteus (taxid 2862869),Sphingomonas hengshuiensis (taxid 1609977)
Nitrincola iocasae (taxid 2614693),Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Desulfitobacterium metallireducens DSM 15288 (taxid 871968),Buchnera aphidicola (taxid 9),Sphingomonas sp. CL5.1 (taxid 2653203)
Clavibacter nebraskensis (taxid 31963),Georgenia faecalis (taxid 2483799),Microlunatus elymi (taxid 2596828)
Massilia sp. H6 (taxid 2970464),Massilia sp. WG5 (taxid 1707785),Sulfuriferula plumbiphila (taxid 171865)
Delftia tsuruhatensis (taxid 180282),Comamonas antarctica (taxid 2743470),Hylemonella gracilis (taxid 80880)
Nitrosophilus labii (taxid 2706014),Halothermothrix orenii H 168 (taxid 373903),Bacillus velezensis NAU-B3 (taxid 1385727)
Paenibacillus sp. FSL R5-0623 (taxid 2921651),Paenibacillus polymyxa SQR-21 (taxid 1413214),Bacillus velezensis NAU-B3 (taxid 1385727)
Cupriavidus sp. EM10 (taxid 2839983),Cupriavidus sp. EM10 (taxid 2839983),Ralstonia sp. RS647 (taxid 2880989)
Hyphomonas sp. CACIAM 19H1 (taxid 1873716),Hyphomonas sp. Mor2 (taxid 1906738),Brucella intermedia (taxid 94625)
Candidatus Pseudomonas adelgestsugas (taxid 1302376),Pseudomonas protegens (taxid 380021),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Fimbriimonas ginsengisoli Gsoil 348 (taxid 661478),Fimbriimonas ginsengisoli Gsoil 348 (taxid 661478),Variovorax sp. PBL-E5 (taxid 434014)
Paenibacillus aurantius (taxid 2918900),Paenibacillus aurantius (taxid 2918900),Bacillus velezensis NAU-B3 (taxid 1385727)
"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- (taxid 440524)",Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Eikenella corrodens (taxid 539),Oxalobacter aliiformigenes (taxid 2946593),Sulfuriferula plumbiphila (taxid 171865)
Acinetobacter variabilis (taxid 70346),Acinetobacter variabilis (taxid 70346),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Laceyella sacchari (taxid 37482),Acidisoma sp. PAMC 29798 (taxid 3040935),Sulfuriferula plumbiphila (taxid 171865)
Clostridium aceticum (taxid 84022),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Ferruginibacter albus (taxid 2875540),Flavisolibacter tropicus (taxid 1492898),Sphingomonas hengshuiensis (taxid 1609977)
Niastella koreensis GR20-10 (taxid 700598),Flavisolibacter tropicus (taxid 1492898),Sphingomonas hengshuiensis (taxid 1609977)
Streptobacillus moniliformis (taxid 34105),Sneathia vaginalis (taxid 187101),Pseudomonas sp. 13159349 (taxid 2662034)
Terribacillus saccharophilus (taxid 361277),Caldisericum exile AZM16c01 (taxid 511051),Crassaminicella indica (taxid 2855394)
Parasphingorhabdus sp. SCSIO 66989 (taxid 3071408),Candidatus Liberibacter asiaticus (taxid 34021),Brucella intermedia (taxid 94625)
Sediminibacterium sp. TEGAF015 (taxid 575378),Sediminibacterium sp. KACHI17 (taxid 1751071),Sphingomonas hengshuiensis (taxid 1609977)
Serpentinicella alkaliphila (taxid 1734049),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Streptomyces sp. S1A1-8 (taxid 2594460),Streptomyces cynarae (taxid 2981134),Microlunatus elymi (taxid 2596828)
Sphingomonas flavescens (taxid 3132797),Sphingomonas flavescens (taxid 3132797),Sphingomonas hengshuiensis (taxid 1609977)
Acinetobacter sp. ANC 7955 (taxid 3151496),Azospirillum argentinense (taxid 2970906),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Halobacillus halophilus (taxid 1570),Halalkalibacter krulwichiae (taxid 199441),Enterococcus faecium (taxid 1352)
Lactobacillus helveticus (taxid 1587),Lactobacillus crispatus (taxid 47770),Ligilactobacillus salivarius (taxid 1624)
Cylindrospermum stagnale PCC 7417 (taxid 56107),Trichodesmium erythraeum IMS101 (taxid 203124),Stenotrophomonas acidaminiphila (taxid 128780)
Fontisubflavum oceani (taxid 2978973),Rhizobium leguminosarum bv. trifolii (taxid 386),Brucella intermedia (taxid 94625)
Paenibacillus psychroresistens (taxid 1778678),Radiobacillus deserti (taxid 2594883),Bacillus velezensis NAU-B3 (taxid 1385727)
Acinetobacter lwoffii (taxid 28090),Acinetobacter johnsonii (taxid 40214),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Aciduricibacillus chroicocephali (taxid 3054939),Oceanobacillus zhaokaii (taxid 2052660),Bacillus velezensis NAU-B3 (taxid 1385727)
Streptococcus pantholopis (taxid 1811193),Streptococcus sp. CP1998 (taxid 3238303),Streptococcus chenjunshii (taxid 2173853)
Aurantibacillus circumpalustris (taxid 3036359),Chryseobacterium taklimakanense (taxid 536441),Candidatus Kaistella beijingensis (taxid 2820270)
Burkholderia mallei (taxid 13373),Ralstonia mannitolilytica (taxid 105219),Ralstonia sp. RS647 (taxid 2880989)
Euzebya pacifica (taxid 1608957),Deinococcus radiophilus (taxid 32062),Hylemonella gracilis (taxid 80880)
Pseudanabaena sp. PCC 7367 (taxid 82654),Pseudanabaena mucicola str. Chao 1806 (taxid 2942274),Staphylococcus aureus (taxid 1280)
Tepidimonas taiwanensis (taxid 307486),Tepidimonas taiwanensis (taxid 307486),Sulfuriferula plumbiphila (taxid 171865)
Nocardioides aromaticivorans (taxid 200618),Nocardioides humi (taxid 449461),Microlunatus elymi (taxid 2596828)
Staphylococcus pasteuri (taxid 45972),Staphylococcus lugdunensis (taxid 28035),Ligilactobacillus salivarius (taxid 1624)
Lactiplantibacillus pentosus (taxid 1589),Pediococcus acidilactici (taxid 1254),Ligilactobacillus salivarius (taxid 1624)
Roseococcus microcysteis (taxid 2771361),Roseomonas marmotae (taxid 2768161),Pseudomonas syringae (taxid 317)
Sphingobacterium bambusae (taxid 662858),Mucilaginibacter mali (taxid 2740462),Candidatus Kaistella beijingensis (taxid 2820270)
Pseudomonas sp. FP453 (taxid 2954094),Pseudomonas protegens (taxid 380021),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Azonexus hydrophilus (taxid 418702),Azospira inquinata (taxid 2785627),Sulfuriferula plumbiphila (taxid 171865)
Dysgonomonas capnocytophagoides (taxid 45254),Chryseobacterium taklimakanense (taxid 536441),Candidatus Kaistella beijingensis (taxid 2820270)
Clostridium acetobutylicum (taxid 1488),Solibaculum mannosilyticum (taxid 2780922),Enterococcus faecium (taxid 1352)
Sphingobacterium mizutaii (taxid 1010),Sphingobacterium mizutaii (taxid 1010),Candidatus Kaistella beijingensis (taxid 2820270)
Sinorhizobium meliloti AK83 (taxid 693982),Rhizobium leguminosarum bv. trifolii (taxid 386),Brucella intermedia (taxid 94625)
Anthocerotibacter panamensis C109 (taxid 2778476),Candidatus Saccharimonas aalborgensis (taxid 1332188),Aeoliella mucimassa (taxid 2527972)
Serratia marcescens (taxid 615),Sodalis ligni (taxid 2697027),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Streptococcus chenjunshii (taxid 2173853),Streptococcus sp. CP1998 (taxid 3238303),Streptococcus chenjunshii (taxid 2173853)
Pantoea sp. X85 (taxid 3037258),Salmonella enterica subsp. enterica serovar Thompson (taxid 600),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Aquisediminimonas profunda (taxid 1550733),Aquisediminimonas profunda (taxid 1550733),Sphingomonas hengshuiensis (taxid 1609977)
Rhizobium oryzihabitans (taxid 2267833),Agrobacterium salinitolerans (taxid 1183413),Brucella intermedia (taxid 94625)
Pirellulimonas nuda (taxid 2528009),Stieleria maiorica (taxid 2795974),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Rubrobacter tropicus (taxid 2653851),Rubrobacter tropicus (taxid 2653851),Microlunatus elymi (taxid 2596828)
Pseudomonas sp. NS1(2017) (taxid 2025658),Pseudomonas sp. NS1(2017) (taxid 2025658),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Candidatus Nitrososphaera gargensis Ga9.2 (taxid 1237085),Nitrosarchaeum sp. AC2 (taxid 2259673),Pseudomonas sp. 13159349 (taxid 2662034)
Gordonibacter urolithinfaciens (taxid 1335613),Berryella wangjianweii (taxid 2734634),Microlunatus elymi (taxid 2596828)
Pseudolabrys sp. FHR47 (taxid 2562284),Terrirubrum flagellatum (taxid 2895980),Brucella intermedia (taxid 94625)
Paenibacillus sp. JZ16 (taxid 1906272),Paenibacillus hunanensis (taxid 539262),Bacillus velezensis NAU-B3 (taxid 1385727)
Sinanaerobacter sp. ZZT-01 (taxid 3111540),Aminipila butyrica (taxid 433296),Emergencia timonensis (taxid 1776384)
Verrucomicrobium sp. GAS474 (taxid 1882831),Luteolibacter sp. Populi (taxid 3230487),Aeoliella mucimassa (taxid 2527972)
Peptoclostridium acidaminophilum DSM 3953 (taxid 1286171),Alkaliphilus metalliredigens QYMF (taxid 293826),Crassaminicella indica (taxid 2855394)
Microbacterium sp. str. 'China' (taxid 2103230),Arthrobacter sulfonylureivorans (taxid 2486855),Microlunatus elymi (taxid 2596828)
Lacrimispora saccharolytica (taxid 84030),Butyrivibrio proteoclasticus B316 (taxid 515622),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Mycobacterium tuberculosis (taxid 1773),Caldisericum exile AZM16c01 (taxid 511051),Crassaminicella indica (taxid 2855394)
Microbacterium schleiferi (taxid 69362),Cellulomonas gilvus ATCC 13127 (taxid 593907),Microlunatus elymi (taxid 2596828)
Sphingomonas sp. C3-2 (taxid 3062169),Sphingosinicella sp. BN140058 (taxid 1892855),Sphingomonas sp. CL5.1 (taxid 2653203)
Isoptericola sp. AK164 (taxid 3024246),Kocuria palustris (taxid 71999),Microlunatus elymi (taxid 2596828)
Nostoc sp. PCC 7107 (taxid 317936),Nostoc sp. TCL26-01 (taxid 2576904),Stenotrophomonas acidaminiphila (taxid 128780)
Lysinibacillus timonensis (taxid 2086577),Ligilactobacillus acidipiscis (taxid 89059),Ligilactobacillus salivarius (taxid 1624)
Streptococcus equi subsp. zooepidemicus (taxid 40041),Streptococcus mutans (taxid 1309),Streptococcus chenjunshii (taxid 2173853)
Terriglobus roseus DSM 18391 (taxid 926566),Terriglobus roseus DSM 18391 (taxid 926566),Clostridium beijerinckii (taxid 1520)
Candidatus Nitrosacidococcus tergens (taxid 553981),Sodalis ligni (taxid 2697027),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Wansuia hejianensis (taxid 2763667),Kineothrix sp. IPX-CK (taxid 3123317),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
